class,text,argtypetext,argtypetextstart,argtypetextend
0, the effect on self-esteem and well-being as a product of sport can only be experienced by certain children if forced by their schools to first participate .,,,
0," there has been a real growth rate of aboutpercent a year , on average .",,,
0," moreover , if there is any tendency for parents to overlook or avoid the problems of chronically unruly children , this serves as an impetus for keeping up with discipline notices and paying attention to the child 's infractions .",,,
1,individuals employed by liberal states remain free to hold beliefs and expression opinions that dissent from the political ideology of the states’ elected governments.,,,
0," 2ibid ,.",,,
0, this then means that much more is likely to get done .,,,
0, these products form part of the process of tying african people into a globalised consumer world where non-westerners feel compelled to buy western products that they do n't need .,,,
0," where an s&m session goes awry , victims of an abuse of consent will have to admit to engaging in a criminal act .",,,
1,"inthe icc prosecutor, fatou bensouda, said the court “cannot take in to consideration the interests of peace, which is the mandate of other institutions, such as the united nations security council” – in other words, that the icc rejects a peace-justice trade, mirroring the general direction of the un.",,,
0," in addition to sporting infrastructure , which could last well in excess ofyears , homes , hospitals , roads and schools have been constructed in gabon 's host cities .",,,
0, for example in59 % of americans wanted the patriot act extended .,,,
4,I suggest the government look into the background of the people in depth before giving out hand phones to them,"Today, the rate of unemployment is on the rise and is seriously being debated by many. Some opine that the best method to minimize this problem is by providing the unemployed with hand phones that have access to the Internet. They also believe that this solution is the most appropriate way to utilize the public money. Nevertheless, I agree to this solution only to a certain degree because I feel that giving those with no work a mobile phone each is a total waste of money.",2462,2572
1," all of these bailouts had conditions attached, mostly austerity to get budget deficits under control.",,,
0," as rem koolhaas '  film documentary - lagos - showed the congestion , informality , and buzz of the city needs to be viewed positively and a sign of entrepreneurialism .",,,
1, in the uk on the other hand in octoberagreed the construction of the uk’s first new nuclear power plant in twenty years and there may be more to come.,,,
0," a study by asa löfström on the links between economic growth and productivity in the labour market argues that if women 's productivity level rises to the level of men 's , europe 's gdp could grow% which makes women 's participation is of crucial importance to europe 's economy .",,,
0, there are benefits to the state in promoting fertility treatments and so encouraging more people to have children .,,,
0," it is common for western democracies to make sweeping statements about the universality of certain rights , and that their system of government is the one that should be most sought after in the world , that democracy is the only legitimate form of government .",,,
0," in, over% of global electricity production was produced through coal , accounting for over% of global carbon dioxide emissions .",,,
0,the main goal of this program is increasing school enrollment overall .,,,
1,  should the voice of citizens come from a local jurisdiction or through a national entity?,,,
1, the oau itself says its objectives are “to rid the continent of the remaining vestiges of colonization and apartheid; to promote unity and solidarity among african states; to coordinate and intensify cooperation for development; to safeguard the sovereignty and territorial integrity of member states and to promote international cooperation within the framework of the united nations.”,,,
0," children should not be encouraged to enter into these adult worlds of acting , modeling , dancing , etc, michael jackson attributed his obsession with children and childhood as a consequence of having missed out on a childhood himself .",,,
0, the hijab causes schools many problems .,,,
1," however, this debate looks at the evidence of whether microfinance schemes in africa are beneficial.",,,
0, this in turn will make compromise all the more difficult to achieve .,,,
0," employees work harder when they are paid more , but employers can often be more concerned with the short-term bottom line and will not treat workers in the lowest echelons of their firms with much consideration , viewing them instead as disposable and replaceable economic units .",,,
1, as programmes continue to be rolled out is the provision of land titles can land titles enable women to become equal citizens; justify rights; and enable social security?,,,
0,it is right to extend the economic and political benefits enjoyed by existing eu members to the rest of europe .,,,
3,"Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores","The last decade has seen an increasing number of tourists travelling to visit natural wonder sights, ancient heritages and different cultures around the world. While some people might think that this international tourism has negative effects on the destination countries, I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations.",616,785
1,this centres around two crucial changes occurring across africa: technology and a youthful population.,,,
0," it was politically divisive to the point of breaking the likud party in two when ariel sharon , a man with more credit than anyone else on the israeli right pulled out of gaza in, and there were only a little overisraeli settlers there .",,,
3,"The financial burden of families, for instance, has decreased significantly with both the wives and the husbands working to earn money","The modern times have witnessed profound changes in most aspects of life, including the revolution of feminism. Women have been opened up to more chances than ever. This, contrary to some ideas, is a positive progress in human society from my point of view.",1034,1168
0," to add more punishment to a crime because it represents a particular kind of hate , an idea , is to unfairly distinguish between different violent acts and trivialize those violent acts that do not appear to be motivated by prejudice hate .",,,
0," as long as the international political system is based upon the sovereignty of nation-states , the threat of nuclear world war will always be there .",,,
0," by focussing energies on these issues and what can be done to correct them , the terms of debate can shift away from one framed in terms of the past to one based in the here and now , resulting in the necessary real change instead of tokenistic gestures such as the one made in new york in.",,,
0," the issue , rather , was israel 's ability to restore its deterrence power and uphold the principle that its citizens can not be targeted with impunity .",,,
0, transferring the main rail services to the high speed line would free up the wcml to increased freight and commuter use so hs2 would not just mean an increase in long distance capacity .,,,
1," however, the idea was not received favourably by all.",,,
0," in a country like syria where the health services have broken down , and basically do n't exist in opposition areas the result could be huge numbers of deaths .",,,
4,"If authorities do not take steps to appropriately conserve these precious values, they will be destroyed in the near future","The last 50 years have seen a significant increase in the number of tourist travelling worldwide. While some might think the tourism bring large profit for the destination countries, I would contend that this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations.",1761,1884
3,"media, such as TV or film, is considered as the correct information source regulated by the government",The soaring crime rate has led to the proposal that it is time for the government to take action to control the proliferation of violent scenes in media.,628,730
0," the contributions of government funding have been shown to be capable of sustaining the costs of a museum , preventing those costs being passed on to the public in the form of admissions charges .",,,
1," in any of these particular settings, the principle arguments remain the same.",,,
0," jurors are frequently affected by media coverage of particular cases , which makes it almost impossible for them to remain impartial in the idealistic way which opposition naively believes possible .",,,
1," should we allow direct advertisement of the prescription drugs to consumers or should the products be advertised mainly to physicians, as is the practice in europe?",,,
0,"  moreover , the icty treated discriminatory attacks against cultural property during the break-up of yugoslavia , as a crime against humanity .",,,
